municipio,populacao_2022,pib_mil_reais
Claro Dos Poções,753829,68185061
Cláudio,826536,85400895
Coimbra,1643688,25079879
Coluna,1350731,38051156
Comendador Gomes,750981,89102245
Comercinho,373382,12757973
Conceição Da Aparecida,1611485,16395800
Conceição Das Pedras,276547,27971236
Conceição Das Alagoas,1606816,32771141
Conceição De Ipanema,1104684,41616182
Conceição Do Mato Dentro,1684617,69802511
Conceição Do Pará,1668939,85365122
Conceição Do Rio Verde,2114451,89543521
Conceição Dos Ouros,1349158,21425327
Cônego Marinho,2256277,2444119
Confins,339317,16702604
Congonhal,1648327,43647599
Congonhas,1451359,81294824
Congonhas Do Norte,1546125,50893153
Conquista,794476,37650941
Conselheiro Lafaiete,211892,16064748
Conselheiro Pena,1680532,74503674
Consolação,810744,75549450
Contagem,1248279,23123227
Coqueiral,1776266,76270069
Coração De Jesus,2294478,13164681
Cordisburgo,1521865,64204378
Cordislândia,2473585,42321287
Corinto,1151695,13317752
Coroaci,368845,8048040
Coromandel,988157,868365
Coronel Fabriciano,2458998,57530465
Coronel Murta,199318,3398562
Coronel Pacheco,2138828,66265566
Coronel Xavier Chaves,612360,65519849
Córrego Danta,1378485,83913937
Córrego Do Bom Jesus,361917,6644096
Córrego Fundo,1677531,43274640
Córrego Novo,1012438,42091089
Couto De Magalhães De Minas,127368,20163734
Crisólita,1830989,75573769
Cristais,1505551,45308162
Cristália,2459750,52369158
Cristiano Otoni,345537,46800184
Cristina,2461742,47143192
Crucilândia,1370541,25541028
Cruzeiro Da Fortaleza,2023635,14804788
Cruzília,2470693,58206211
Cuparaque,1291741,16412888
Curral De Dentro,1962689,56651141
Curvelo,2470105,20983559
Datas,595360,26193316
Delfim Moreira,698111,79178532
Delfinópolis,1148543,24381541
Delta,1249138,764353
Descoberto,538512,50388712
Desterro De Entre Rios,1921878,80682182
Desterro Do Melo,628572,85524654
Diamantina,2221127,70341074
Diogo De Vasconcelos,1465459,43666979
Dionísio,337717,2744782
Divinésia,1146992,61970392
Divino,2412124,66227879
Divino Das Laranjeiras,398634,15120735
Divinolândia De Minas,2020473,35768988
Divinópolis,604722,85901083
Divisa Alegre,1759000,78685658
Divisa Nova,1694960,13638147
Divisópolis,273101,54316864
Dom Bosco,215275,67260909
Dom Cavati,2495472,9434191
Dom Joaquim,1448850,45352191
Dom Silvério,547086,27118485
Dom Viçoso,404972,81963349
Dona Euzébia,1717662,48838814
Dores De Campos,2374559,8755638
Dores De Guanhães,1293263,18754949
Dores Do Indaiá,283612,50703429
Dores Do Turvo,802946,406605
Doresópolis,438983,13290978
Douradoquara,1148066,29111998
Durandé,567207,41220771
Elói Mendes,1389705,3712414
Engenheiro Caldas,1144550,11393570
Engenheiro Navarro,1483231,33576686
Entre Folhas,1520592,47117045
Entre Rios De Minas,1415257,8713806
Ervália,2186454,36373247
Esmeraldas,789243,48871379
Espera Feliz,1088325,88044749
Espinosa,1397359,48304102
Espírito Santo Do Dourado,160887,12665984
Estiva,2481261,35858970
Estrela Dalva,1745912,8519108
Estrela Do Indaiá,630927,82199181
Estrela Do Sul,216691,75170940
Eugenópolis,2266762,46167764
Ewbank Da Câmara,1972808,38503336
Extrema,811313,20436618
Fama,1441766,26477764
Faria Lemos,484752,79505663
Felício Dos Santos,659533,38731447
São Gonçalo Do Rio Preto,660483,16280191
Felisburgo,1006018,77561882
Felixlândia,1682074,14730437
Fernandes Tourinho,1907634,56726890
Ferros,1031203,36492548
Fervedouro,1406896,49838920
Florestal,2101128,44848130
Formiga,1379584,83035534
Formoso,1355738,33555758
Fortaleza De Minas,386081,79314762
Fortuna De Minas,1594752,58570428
Francisco Badaró,1568772,37332916
Francisco Dumont,308701,76041157
Francisco Sá,1720222,14529656
Franciscópolis,1564198,53044001
Frei Gaspar,2153411,7280806
Frei Inocêncio,1272840,19384868
Frei Lagonegro,937893,43033014
Fronteira,2041469,42016445
Fronteira Dos Vales,440410,1507685
Fruta De Leite,2035538,72867128
Frutal,270614,88280665
Funilândia,772844,37243696
Galiléia,2019564,88314313
Gameleiras,488469,75258184
Glaucilândia,1517119,57198108
Goiabeira,1676128,53705114
Goianá,1087779,979091
Gonçalves,231119,19308594
Gonzaga,2317521,53474427
Gouveia,1296592,22366296
Governador Valadares,1068747,8162446
Grão Mogol,1199194,71412794
Grupiara,659526,4633429
Guanhães,1354512,10985189
Guapé,1889508,37628725
Guaraciaba,2316687,88814496
Guaraciama,1413642,30754104
Guaranésia,1088890,76156006
Guarani,1042874,43982139
Guarará,777358,77593372
Guarda-Mor,1891125,26616986
Guaxupé,123764,83374309
Guidoval,886783,89671773
Guimarânia,1199302,1022354
Guiricema,83450,57138105
Gurinhatã,1860353,36804159
Heliodora,1770317,77925836
Iapu,1833326,2490339
Ibertioga,2353005,83467219
Ibiá,346096,40261176
Ibiaí,2064285,72107222
Ibiracatu,697018,81840223
Ibiraci,1443861,1382243
Ibirité,1978646,55812865
Ibitiúra De Minas,514004,49279029
Ibituruna,1342896,80823577
Icaraí De Minas,932115,25606040
Igarapé,1495805,8053891
Igaratinga,1798563,43467958
Iguatama,2084389,70113197
Ijaci,2210089,8112883
Ilicínea,1802834,34397432
Imbé De Minas,1177819,5738441
Inconfidentes,2358806,47030384
Indaiabira,1199111,26830375
Indianópolis,1628111,24122773
Ingaí,1910753,42336351
Inhapim,1833869,39712863
Inhaúma,1544720,38289882
Inimutaba,837666,55047856
Ipaba,1260857,11542313
Ipanema,1102779,14281017
Ipatinga,304559,72146403
Ipiaçu,943004,883383
Ipuiúna,120457,60102211
Iraí De Minas,516665,78120609
Itabira,924641,12698565
Itabirinha,1583855,28721907
Itabirito,2466731,48306434
Itacambira,710257,80210260
Itacarambi,966642,16631922
Itaguara,311212,15280552
Itaipé,2240264,79444888
Itajubá,258753,64616199
Itamarandiba,692081,27439354
Itamarati De Minas,2254163,62967229
Itambacuri,403040,1779156
Itambé Do Mato Dentro,1046658,82472657
Itamogi,673055,34470615
Itamonte,1447003,81381859
Itanhandu,1399218,77639117
Itanhomi,2153510,23045065
Itaobim,326749,50649446
Itapagipe,1906093,65083993
Itapecerica,127468,89920102
Itapeva,364441,56835762
Itatiaiuçu,2454429,65077725
Itaú De Minas,1449697,9789156
Itaúna,334589,27100215
Itaverava,1494291,82223720
Itinga,1106074,29868131
Itueta,167154,39173288
Ituiutaba,1550309,59051809
Itumirim,943449,11825919
Iturama,71240,61279709
Itutinga,1049078,4212652
Jaboticatubas,1383740,45912010
Jacinto,71312,89154242
Jacuí,1922317,36229625
Jacutinga,2435518,70359330
Jaguaraçu,1730452,1946110
Jaíba,271470,51020450
Jampruca,214470,66204732
Janaúba,1401436,71399734
Januária,1558866,40314559
Japaraíba,690274,29312145
Japonvar,2051309,57927039
Jeceaba,1195552,41445464
Jenipapo De Minas,817551,35146740
Jequeri,351478,82104378
Jequitaí,181951,24690012
Jequitibá,545457,22740888
Jequitinhonha,1429292,36431044
Jesuânia,1123658,50210411
Joaíma,707305,46051030
Joanésia,696162,84524616
João Monlevade,16078,81862560
João Pinheiro,1629101,89915160
Joaquim Felício,704167,34994413
Jordânia,504430,32053123
José Gonçalves De Minas,1545194,66139744
José Raydan,1880271,83913269
Josenópolis,554671,58778923
Nova União,1302039,28536430
Juatuba,1182713,5353288
Juiz De Fora,2120807,84037540
Juramento,997076,14009146
Juruaia,1137382,83940864
Juvenília,1720103,62784607
Ladainha,310560,14702167
Lagamar,22409,3655698
Lagoa Da Prata,1529970,27080216
Lagoa Dos Patos,1492230,74876748
Lagoa Dourada,616898,3871419
Lagoa Formosa,517520,57636671
Lagoa Grande,372937,27678743
Lagoa Santa,2401871,75743775
Lajinha,664570,33799886
Lambari,949955,75644057
Lamim,2104535,21957702
Laranjal,1176723,33489315
Lassance,697623,51746016
Lavras,2003707,62910567
Leandro Ferreira,481932,83821998
Leme Do Prado,1447986,40521140
Leopoldina,150121,66518936
Liberdade,1183038,62782888
Lima Duarte,1898218,3912300
Limeira Do Oeste,2234930,14630123
Lontra,1108522,88313387
Luisburgo,1537791,70859420
Luislândia,774662,47613600
Luminárias,762679,10253339
Luz,1868054,49349823
Machacalis,149168,62484495
Machado,1949685,81399845
Madre De Deus De Minas,182548,88933823
Malacacheta,2040806,60604064
Mamonas,336244,41000218
Manga,1924245,21160243
Manhuaçu,711848,51930516
Manhumirim,1894748,33457152
Mantena,666727,5643925
Maravilhas,1723978,14659033
Mar De Espanha,1715057,83099943
Maria Da Fé,67011,83874593
Mariana,307558,35721501
Marilac,1596118,12681808
Mário Campos,419994,30860848
Maripá De Minas,795283,81602293
Marliéria,1326540,5327638
Marmelópolis,584866,52005738
Martinho Campos,1997988,77379529
Martins Soares,2065409,59076085
Mata Verde,886855,46470240
Materlândia,1853908,81071109
Mateus Leme,2474999,74052943
Matias Barbosa,257788,40002176
Matias Cardoso,2180254,80389606
Matipó,2259014,1516049
Mato Verde,808371,61814583
Matozinhos,2033638,27070073
Matutina,766807,58566790
Medeiros,1979180,45613792
Medina,1330386,3423939
Mendes Pimentel,1582942,59627050
Mercês,1421532,55094885
Mesquita,1474658,76911509
Minas Novas,281697,83770320
Minduri,1993300,65625542
Mirabela,474415,61849955
Miradouro,65550,73257511
Miraí,2154534,76412143
Miravânia,873989,68825272
Moeda,617226,24606149
Moema,691610,41049348
Monjolos,644690,30462317
Monsenhor Paulo,440045,36435519
Montalvânia,871739,22741266
Monte Alegre De Minas,1380225,86812869
Monte Azul,2476782,36466674
Monte Belo,113277,31521358
Monte Carmelo,2157470,32373875
Monte Formoso,703671,33068792
Monte Santo De Minas,1682611,17134759
Montes Claros,812235,45644370
Monte Sião,1923479,58598642
Montezuma,2077108,35997945
Morada Nova De Minas,1486116,80538303
Morro Da Garça,2345542,7553002
Morro Do Pilar,2428007,50937270
Munhoz,1607262,69992244
Muriaé,358313,28019367
Mutum,464479,67443602
Muzambinho,1507619,53355865
Nacip Raydan,1087974,86649517
Nanuque,188131,49578852
Naque,1691610,58658284
Natalândia,1180285,34698802
Natércia,12817,73773795
Nazareno,1756632,28466638
Nepomuceno,1042606,55194497
Ninheira,369192,61022568
Nova Belém,1208731,85004032
Nova Era,2212261,75220904
Nova Lima,2149002,38480887
Nova Módica,488931,88437413
Nova Ponte,2120237,22267409
Nova Porteirinha,1170399,3890887
Nova Resende,1545102,55111381
Nova Serrana,984623,71143022
Novo Cruzeiro,447311,9624026
Novo Oriente De Minas,1814038,60902280
Novorizonte,2044719,68565566
Olaria,1872979,54133643
Olhos-D'água,240608,8520279
Olímpio Noronha,2317842,71204696
Oliveira,2125602,45740291
Oliveira Fortes,380529,72811951
Onça De Pitangui,1955900,47089005
Oratórios,1722512,44808873
Orizânia,349216,3668126
Ouro Branco,1461143,43662476
Ouro Fino,2046358,31847553
Ouro Preto,2225120,42971641
Ouro Verde De Minas,2331823,19143714
Padre Carvalho,630191,58824556
Padre Paraíso,966026,72080380
Paineiras,1578209,15171027
Pains,1541779,76040092
Pai Pedro,2410185,77496802
Paiva,264835,55527587
Palma,384249,33959463
Palmópolis,1168346,18313331
Papagaios,1475377,36641885
Paracatu,296678,61798317
Pará De Minas,794678,50260859
Paraguaçu,339310,30330630
Paraisópolis,1243734,55044832
Paraopeba,569983,15261142
Passabém,843131,27567804
Passa Quatro,1614968,16841959
Passa Tempo,846144,89055627
Passa Vinte,5697,67888182
Passos,2268964,72035066
Patis,282186,6739096
Patos De Minas,389990,42720865
Patrocínio,1314968,77549234
Patrocínio Do Muriaé,1414032,25213554
Paula Cândido,641076,21572444
Paulistas,86009,37234014
Pavão,1965430,31417414
Peçanha,1900458,84818194
Pedra Azul,1955815,48984811
Pedra Bonita,33672,60891460
Pedra Do Anta,1064440,20922389
Pedra Do Indaiá,189934,49039093
Pedra Dourada,939272,56439062
Pedralva,541683,23099197
Pedras De Maria Da Cruz,2317407,11007128
Pedrinópolis,473653,75972805
Pedro Leopoldo,356263,60842737
Pedro Teixeira,2006460,41819129
Pequeri,1783556,17974935
Pequi,1609737,66772663
Perdigão,1390682,4920405
Perdizes,675608,19879455
Perdões,2003735,77113068
Periquito,2106309,40390669
Pescador,2251994,61120797
Piau,971826,49371135
Piedade De Caratinga,2101702,30826767
Piedade De Ponte Nova,1936418,23400189
Piedade Do Rio Grande,1574347,85661269
Piedade Dos Gerais,2206338,52626175
Pimenta,1470419,53980709
Pingo-D'água,251045,27795233
Pintópolis,2424986,55001337
Piracema,1133102,65995446
Pirajuba,87960,31048308
Piranga,115499,38033987
Piranguçu,227353,35197830
Piranguinho,1065114,13884313
Pirapetinga,1527081,87507746
Pirapora,1466276,56931899
Piraúba,849017,75607795
Pitangui,777971,57451383
Piumhi,658822,56536942
Planura,399162,60550753
Poço Fundo,800624,65139416
Poços De Caldas,799039,13990272
Pocrane,1538092,13830590
Pompéu,1235096,2534953
Ponte Nova,1021451,54066131
Ponto Chique,2457063,88675529
Ponto Dos Volantes,1600833,52468264
Porteirinha,2093984,59955654
Porto Firme,1036485,88858968
Poté,1030696,697947
Pouso Alegre,570322,25241070
Pouso Alto,2103893,32434909
Prados,1001293,38575247
Prata,2386582,27877121
Pratápolis,2251643,73127753
Pratinha,2046974,83727204
Presidente Bernardes,314386,86194596
Presidente Juscelino,1050840,87317422
Presidente Kubitschek,512270,79982272
Presidente Olegário,669305,7844837
Alto Jequitibá,537640,26203457
Prudente De Morais,1824579,7198352
Quartel Geral,968652,60037040
Queluzito,1660838,84923453
Raposos,484605,15988863
Raul Soares,2108632,45373889
Recreio,1312280,27401501
Reduto,1636602,27512969
Resende Costa,137829,74527631
Resplendor,1916078,74509858
Ressaquinha,1705993,25854938
Riachinho,1123649,85591000
Riacho Dos Machados,2471051,72549021
Ribeirão Das Neves,1111684,24002023
Ribeirão Vermelho,606712,11356064
Rio Acima,2251380,1330730
Rio Casca,2485202,25960405
Rio Doce,704309,64811453
Rio Do Prado,1488166,70893843
Rio Espera,1698355,74067394
Rio Manso,1013003,54826727
Rio Novo,266962,60071932
Rio Paranaíba,1851917,41153312
Rio Pardo De Minas,1015475,17072002
Rio Piracicaba,2190084,23272095
Rio Pomba,559287,64390256
Rio Preto,105139,34634109
Rio Vermelho,518515,44108256
Ritápolis,1071867,33685259
Rochedo De Minas,1227534,38850787
Rodeiro,2305845,48417615
Romaria,435015,57964621
Rosário Da Limeira,274210,47486482
Rubelita,210707,79563554
Rubim,966596,47299497
Sabará,1071432,39370846
Sabinópolis,1925433,26059382
Sacramento,854846,85690868
Salinas,2270549,10570632
Salto Da Divisa,2429722,49574183
Santa Bárbara,1620175,46133059
Santa Bárbara Do Leste,220339,25861336
Santa Bárbara Do Monte Verde,2235729,59668492
Santa Bárbara Do Tugúrio,1987494,89712204
Santa Cruz De Minas,1569231,1478537
Santa Cruz De Salinas,687212,87632681
Santa Cruz Do Escalvado,1532709,54331810
Santa Efigênia De Minas,2116785,15477676
Santa Fé De Minas,1526669,71358823
Santa Helena De Minas,1580823,23113491
Santa Juliana,1040635,80226789
Santa Luzia,491033,88221613
Santa Margarida,1325117,51689926
Santa Maria De Itabira,497581,51610870
Santa Maria Do Salto,1198305,15969856
Santa Maria Do Suaçuí,77107,25771883
Santana Da Vargem,590834,77613257
Santana De Cataguases,368707,57452382
Santana De Pirapama,92129,57351839
Santana Do Deserto,1359007,83154783
Santana Do Garambéu,537279,70327008
Santana Do Jacaré,1846467,88916892
Santana Do Manhuaçu,768688,7367440
Santana Do Paraíso,568136,21062199
Santana Do Riacho,2112539,41967612
Santana Dos Montes,2138364,57505607
Santa Rita De Caldas,2316701,74233293
Santa Rita De Jacutinga,794318,70670203
Santa Rita De Minas,2445986,50222410
Santa Rita De Ibitipoca,403499,17704986
Santa Rita Do Itueto,843735,80227760
Santa Rita Do Sapucaí,482840,84414844
Santa Rosa Da Serra,1747565,9782606
Santa Vitória,1098563,51147143
Santo Antônio Do Amparo,454666,1541869
Santo Antônio Do Aventureiro,1839134,47636475
Santo Antônio Do Grama,2107394,63153646
Santo Antônio Do Itambé,2076892,31674132
Santo Antônio Do Jacinto,1693990,45139321
Santo Antônio Do Monte,258099,40553319
Santo Antônio Do Retiro,1058597,63260806
Santo Antônio Do Rio Abaixo,730860,56166099
Santo Hipólito,1886180,83663372
Santos Dumont,1740339,31521011
São Bento Abade,1364619,81790396
São Brás Do Suaçuí,777579,41643904
São Domingos Das Dores,405657,31209322
São Domingos Do Prata,2386779,27072197
São Félix De Minas,2320414,44067935
São Francisco,1237250,71769549
São Francisco De Paula,2186408,86474104
São Francisco De Sales,478577,88667261
São Francisco Do Glória,737681,9044191
São Geraldo,1163328,39500051
São Geraldo Da Piedade,2212681,59862144
São Geraldo Do Baixio,1770676,24598509
São Gonçalo Do Abaeté,2189404,68594909
São Gonçalo Do Pará,1956759,794165
São Gonçalo Do Rio Abaixo,792188,52931125
São Gonçalo Do Sapucaí,2347936,76066412
São Gotardo,838298,54085098
São João Batista Do Glória,446704,79227523
São João Da Lagoa,482570,63053381
São João Da Mata,182700,13025566
São João Da Ponte,905457,65360228
São João Das Missões,1492249,54480647
São João Del Rei,907993,67880813
São João Do Manhuaçu,2071486,59292040
São João Do Manteninha,2013863,81849914
São João Do Oriente,580112,42436573
São João Do Pacuí,9035,83571878
São João Do Paraíso,2266008,78799334
São João Evangelista,1431849,13370491
São João Nepomuceno,2462429,9716586
São Joaquim De Bicas,858845,33903442
São José Da Barra,330710,70523743
São José Da Lapa,388036,8364351
São José Da Safira,18765,47550947
São José Da Varginha,354015,20143651
São José Do Alegre,1675740,20537771
São José Do Divino,1660115,75031114
São José Do Goiabal,600250,26272465
São José Do Jacuri,2257054,86795318
São José Do Mantimento,2295445,25389169
São Lourenço,675009,64406740
São Miguel Do Anta,2392549,55457347
São Pedro Da União,1971303,3491005
São Pedro Dos Ferros,1679912,31772426
São Pedro Do Suaçuí,694735,18585943
São Romão,1164841,80696441
São Roque De Minas,1481755,59425941
São Sebastião Da Bela Vista,334693,71357356
São Sebastião Da Vargem Alegre,112520,21666442
São Sebastião Do Anta,1338300,89781245
São Sebastião Do Maranhão,212868,76378875
São Sebastião Do Oeste,1436130,85449054
São Sebastião Do Paraíso,2019743,21899120
São Sebastião Do Rio Preto,1252097,64093346
São Sebastião Do Rio Verde,417477,11925035
São Tiago,1378471,956498
São Tomás De Aquino,2403751,73187003
São Tomé Das Letras,481177,66413882
São Vicente De Minas,1306638,36167651
Sapucaí-Mirim,153056,37525340
Sardoá,1935704,33429031
Sarzedo,1902025,64804719
Setubinha,1679895,70304645
Sem-Peixe,1507240,49333715
Senador Amaral,1139301,32972373
Senador Cortes,391807,67527282
Senador Firmino,2225919,22819688
Senador José Bento,1994944,16413994
Senador Modestino Gonçalves,224560,45054459
Senhora De Oliveira,970420,23341955
Senhora Do Porto,1734697,18344912
Senhora Dos Remédios,732076,77613714
Sericita,2335817,3692419
Seritinga,1217742,47390350
Serra Azul De Minas,299742,29424629
Serra Da Saudade,272122,1019088
Serra Dos Aimorés,721022,66064462
Serra Do Salitre,1781271,66777945
Serrania,588763,48325093
Serranópolis De Minas,1455619,68352160
Serranos,155219,77773884
Serro,2430530,84672665
Sete Lagoas,611368,6143783
Silveirânia,1249749,46100765
Silvianópolis,2275494,36369137
Simão Pereira,626556,76764547
Simonésia,1022022,84760248
Sobrália,1746397,322608
Soledade De Minas,2121807,248360
Tabuleiro,2441078,83434527
Taiobeiras,962065,11419139
Taparuba,1382072,72858666
Tapira,1105333,83741893
Tapiraí,1346532,69932107
Taquaraçu De Minas,2193067,51988741
Tarumirim,26354,64265571
Teixeiras,257830,84863825
Teófilo Otoni,1899629,49475142
Timóteo,1448449,3926686
Tiradentes,85477,67667659
Tiros,1528605,72960336
Tocantins,732430,40161414
Tocos Do Moji,981934,81313019
Toledo,832341,69414757
Tombos,2067523,33911253
Três Corações,1370452,79638566
Três Marias,1978582,3773382
Três Pontas,394639,12835438
Tumiritinga,704729,30029045
Tupaciguara,186133,73300491
Turmalina,2319613,4525133
Turvolândia,1244088,50807577
Ubá,2350980,53447265
Ubaí,688480,42353836
Ubaporanga,1171264,4617136
Uberaba,1306416,2604601
Uberlândia,550062,2021760
Umburatiba,1254697,69633690
Unaí,221157,61829958
União De Minas,253646,77843551
Uruana De Minas,46434,45955934
Urucânia,385350,401948
Urucuia,226602,21559690
Vargem Alegre,1293523,23952690
Vargem Bonita,1608324,50264199
Vargem Grande Do Rio Pardo,1127140,36025097
Varginha,1299894,83165465
Varjão De Minas,1374951,60302327
Várzea Da Palma,412602,62506395
Varzelândia,2223426,23161060
Vazante,2404652,58242907
Verdelândia,1102073,36223767
Veredinha,1154120,57238953
Veríssimo,205338,40415995
Vermelho Novo,1233890,25079227
Vespasiano,1473000,52800804
Viçosa,485099,13113882
Vieiras,38372,84275479
Mathias Lobato,2154584,54296518
Virgem Da Lapa,386339,11785632
Virgínia,1428192,16297653
Virginópolis,196346,89195447
Virgolândia,1552982,58038448
Visconde Do Rio Branco,2458465,9033765
Volta Grande,1270717,41097705
Wenceslau Braz,2009720,75837897
